2025-07-16 18:16:13.287 INFO  [restartedMain] c.s.e.EcommerceSprinbootProjectApplication - Starting EcommerceSprinbootProjectApplication using Java 17.0.7 with PID 19164 (E:\SPRINGBOOT MODIFIED PROJECT FOLDER\sts-4.19.0.RELEASE\Spring-Project\Ecommerce_Sprinboot_Project\target\classes started by Archana in E:\SPRINGBOOT MODIFIED PROJECT FOLDER\sts-4.19.0.RELEASE\Spring-Project\Ecommerce_Sprinboot_Project)
2025-07-16 18:16:13.292 INFO  [restartedMain] c.s.e.EcommerceSprinbootProjectApplication - No active profile set, falling back to 1 default profile: "default"
2025-07-16 18:16:13.371 INFO  [restartedMain] o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2025-07-16 18:16:13.373 INFO  [restartedMain] o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2025-07-16 18:16:14.719 INFO  [restartedMain] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-07-16 18:16:14.870 INFO  [restartedMain] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 105 ms. Found 2 JPA repository interfaces.
2025-07-16 18:16:15.815 INFO  [restartedMain] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 9999 (http)
2025-07-16 18:16:15.854 INFO  [restartedMain] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9999"]
2025-07-16 18:16:15.862 INFO  [restartedMain] o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-07-16 18:16:15.863 INFO  [restartedMain] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.25]
2025-07-16 18:16:16.074 INFO  [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-07-16 18:16:16.075 INFO  [restartedMain] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2701 ms
2025-07-16 18:16:16.406 INFO  [restartedMain] o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-07-16 18:16:16.508 INFO  [restartedMain] org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.2.Final
2025-07-16 18:16:16.574 INFO  [restartedMain] o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-07-16 18:16:17.101 INFO  [restartedMain] o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-07-16 18:16:17.154 INFO  [restartedMain] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-07-16 18:16:17.642 INFO  [restartedMain] com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@256b8087
2025-07-16 18:16:17.645 INFO  [restartedMain] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-07-16 18:16:17.736 WARN  [restartedMain] org.hibernate.orm.deprecation - HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2025-07-16 18:16:19.275 INFO  [restartedMain] o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-07-16 18:16:19.410 INFO  [restartedMain] o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-07-16 18:16:20.180 INFO  [restartedMain] o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with UserDetailsService bean with name userDetailsServiceImpl
2025-07-16 18:16:20.227 WARN  [restartedMain] o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-07-16 18:16:21.013 INFO  [restartedMain] o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2025-07-16 18:16:21.043 INFO  [restartedMain] o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9999"]
2025-07-16 18:16:21.072 INFO  [restartedMain] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 9999 (http) with context path '/'
2025-07-16 18:16:21.085 INFO  [restartedMain] c.s.e.EcommerceSprinbootProjectApplication - Started EcommerceSprinbootProjectApplication in 8.423 seconds (process running for 10.52)
2025-07-16 18:16:51.362 INFO  [http-nio-9999-exec-2] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-07-16 18:16:51.362 INFO  [http-nio-9999-exec-2] o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-07-16 18:16:51.366 INFO  [http-nio-9999-exec-2] o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2025-07-16 18:16:51.489 INFO  [http-nio-9999-exec-2] o.s.web.filter.OncePerRequestFilter - Invalid Header Value !!
